rental_id,customer_id,vehicle_id,status_date_time,status_location,status
1,574,1,2026-08-23 13:13:09,test 2,AVAILABLE
2,556,2,2026-09-12 12:39:41,Manchester,AVAILABLE
3,849,3,2026-09-10 02:40:17,Luton,SERVICEREQ
4,643,4,2026-09-14 20:44:05,Manchester,SERVICEREQ
5,548,5,2026-08-31 08:07:38,Bristol,DAMAGED
6,101,6,2026-09-21 20:15:39,Manchester,DAMAGED
7,357,7,2026-09-09 09:26:47,Bristol,AVAILABLE
8,121,8,2026-09-20 17:59:14,Luton,SERVICEREQ
9,950,9,2026-09-11 04:37:41,Luton,RENTED
10,302,10,2026-09-21 17:29:19,Luton,DAMAGED
11,436,11,2026-08-30 19:48:11,Bristol,DAMAGED
12,318,12,2026-09-07 08:21:02,Bristol,DAMAGED
13,206,13,2026-09-04 08:54:28,Manchester,SERVICEREQ
14,770,14,2026-09-15 07:59:14,Luton,AVAILABLE
15,407,15,2026-09-02 18:03:57,Manchester,DAMAGED
16,519,16,2026-09-02 19:18:46,Manchester,SERVICEREQ
17,586,17,2026-09-20 09:45:37,Manchester,DAMAGED
18,129,18,2026-09-04 03:33:16,Manchester,SERVICEREQ
19,133,19,2026-09-12 12:16:43,Manchester,RENTED
20,461,20,2026-09-04 15:09:58,Bristol,AVAILABLE
21,568,21,2026-08-25 14:32:52,Manchester,SERVICEREQ
22,717,22,2026-08-28 01:11:26,Bristol,DAMAGED
23,737,23,2026-09-20 12:57:39,Bristol,SERVICEREQ
24,166,24,2026-09-14 07:31:03,Manchester,AVAILABLE
25,72,25,2026-09-07 17:55:15,Manchester,DAMAGED
26,566,26,2026-09-02 11:25:56,Bristol,DAMAGED
27,530,27,2026-09-10 10:30:18,Manchester,RENTED
28,786,28,2026-09-20 19:12:23,Bristol,DAMAGED
29,11,29,2026-09-16 06:22:43,Bristol,DAMAGED
30,840,30,2026-09-15 02:05:05,Manchester,RENTED
31,24,31,2026-09-05 23:16:10,Bristol,AVAILABLE
32,391,32,2026-08-29 08:17:24,Manchester,RENTED
33,693,33,2026-08-29 20:33:30,Luton,SERVICEREQ
34,393,34,2026-08-23 18:29:20,Manchester,DAMAGED
35,433,35,2026-09-15 20:35:31,Luton,RENTED
36,191,36,2026-09-05 05:52:38,Luton,DAMAGED
37,719,37,2026-09-08 06:52:22,Luton,RENTED
38,241,38,2026-09-05 07:32:01,Luton,DAMAGED
39,741,39,2026-08-25 17:56:55,Luton,SERVICEREQ
40,416,40,2026-09-15 16:51:24,Manchester,SERVICEREQ
41,832,41,2026-09-11 17:24:35,Bristol,RENTED
42,630,42,2026-09-21 13:34:40,Bristol,RENTED
43,10,43,2026-08-28 10:35:37,Luton,RENTED
44,753,44,2026-08-26 05:32:52,Manchester,SERVICEREQ
45,102,45,2026-09-20 19:44:10,Luton,DAMAGED
46,395,46,2026-08-27 09:56:36,Luton,RENTED
47,584,47,2026-09-21 00:16:24,Luton,SERVICEREQ
48,525,48,2026-09-09 21:27:31,Luton,AVAILABLE
49,392,49,2026-09-15 01:08:44,Bristol,SERVICEREQ
50,290,50,2026-09-05 10:09:47,Bristol,RENTED
51,734,51,2026-08-26 04:18:26,Manchester,RENTED
52,429,52,2026-08-29 13:52:00,Bristol,DAMAGED
53,228,53,2026-08-26 23:08:23,Luton,DAMAGED
54,191,54,2026-09-04 02:14:04,Manchester,SERVICEREQ
55,414,55,2026-08-29 18:42:52,Manchester,SERVICEREQ
56,834,56,2026-08-31 07:37:38,Bristol,SERVICEREQ
57,76,57,2026-08-27 14:49:04,Bristol,DAMAGED
58,363,58,2026-08-25 03:03:29,Bristol,RENTED
59,201,59,2026-09-08 08:04:01,Bristol,SERVICEREQ
60,56,60,2026-09-19 16:36:56,Manchester,DAMAGED
61,75,61,2026-09-02 06:23:01,Luton,SERVICEREQ
62,144,62,2026-09-08 20:59:59,Manchester,DAMAGED
63,850,63,2026-09-18 21:50:13,Luton,RENTED
64,937,64,2026-09-01 22:07:53,Luton,SERVICEREQ
65,151,65,2026-09-12 23:17:19,Luton,SERVICEREQ
66,361,66,2026-09-12 21:28:45,Manchester,SERVICEREQ
67,358,67,2026-09-16 22:25:44,Manchester,RENTED
68,344,68,2026-09-18 15:18:23,Bristol,SERVICEREQ
69,175,69,2026-09-08 20:58:13,Manchester,AVAILABLE
70,874,70,2026-09-13 17:56:50,Luton,DAMAGED
71,916,71,2026-09-14 19:58:31,Luton,AVAILABLE
72,539,72,2026-09-06 06:23:21,Manchester,RENTED
73,255,73,2026-09-22 04:55:08,Manchester,SERVICEREQ
74,796,74,2026-09-18 13:10:33,Bristol,DAMAGED
75,846,75,2026-09-02 23:12:42,Bristol,DAMAGED
76,29,76,2026-09-10 14:06:25,Bristol,SERVICEREQ
77,683,77,2026-08-28 09:15:05,Luton,AVAILABLE
78,209,78,2026-09-09 21:07:45,Manchester,AVAILABLE
79,976,79,2026-08-27 08:33:17,Luton,RENTED
80,878,80,2026-08-27 20:35:19,Bristol,SERVICEREQ
81,951,81,2026-08-28 02:10:17,Bristol,DAMAGED
82,670,82,2026-09-05 21:12:27,Bristol,RENTED
83,694,83,2026-08-24 04:11:55,Manchester,DAMAGED
84,671,84,2026-08-31 22:24:29,Luton,DAMAGED
85,355,85,2026-08-28 13:00:31,Luton,SERVICEREQ
86,77,86,2026-09-12 02:32:57,Luton,SERVICEREQ
87,438,87,2026-09-11 15:56:44,Manchester,SERVICEREQ
88,930,88,2026-09-03 23:41:42,Bristol,DAMAGED
89,438,89,2026-09-08 09:49:18,Bristol,DAMAGED
90,792,90,2026-09-19 06:10:06,Luton,RENTED
91,729,91,2026-09-20 22:52:51,Manchester,AVAILABLE
92,409,92,2026-09-13 05:20:14,Manchester,SERVICEREQ
93,347,93,2026-09-06 09:34:59,Manchester,DAMAGED
94,516,94,2026-08-28 09:05:56,Bristol,AVAILABLE
95,114,95,2026-09-19 01:02:36,Bristol,SERVICEREQ
96,125,96,2026-08-30 00:29:20,Bristol,DAMAGED
97,966,97,2026-09-20 03:25:50,Bristol,DAMAGED
98,973,98,2026-09-15 22:14:24,Bristol,RENTED
99,494,99,2026-09-01 20:26:57,Luton,DAMAGED
100,828,100,2026-09-07 17:11:34,Luton,DAMAGED
101,619,101,2026-08-24 22:23:11,Manchester,RENTED
102,2,102,2026-09-09 03:41:30,Luton,SERVICEREQ
103,195,103,2026-09-20 10:39:38,Luton,SERVICEREQ
104,463,104,2026-09-11 07:36:22,Manchester,SERVICEREQ
105,161,105,2026-09-08 02:51:59,Luton,RENTED
106,22,106,2026-09-07 14:34:23,Luton,SERVICEREQ
107,658,107,2026-09-19 20:25:10,Manchester,RENTED
108,97,108,2026-09-12 14:11:09,Manchester,RENTED
109,284,109,2026-09-19 11:35:47,Bristol,AVAILABLE
110,456,110,2026-08-23 21:44:56,Luton,DAMAGED
